firm,slug,ticker,cik,public_start,public_end,fiscal_year_end_month,canonical_repo,repo_attribution,expected_public_quarters,source_fundamental_status,extractor_compatibility,current_extractor_usable_quarters,debt_status_reason,price_status,estimated_usable_quarters,verdict,primary_caveat
"Elastic N.V.",elastic,ESTC,0001707753,2018-10-05,2026-06-30,4,https://github.com/elastic/elasticsearch.git,HIGH,31,COMPLETE,PARTIAL,21,"10 ZERO_SUPPORTED_BY_FILINGS; 1 REPORTED_ZERO; 20 REPORTED_NONZERO",EXPECTED,,YELLOW,"Pre-note zero debt needs a filing-backed zero assertion; CRSP not inspected"
"MongoDB, Inc.",mongodb,MDB,0001441816,2017-10-19,2026-06-30,1,https://github.com/mongodb/mongo.git,HIGH,35,COMPLETE,PARTIAL,19,"25 REPORTED_NONZERO; 3 REPORTED_ZERO; 1 ZERO_SUPPORTED_BY_FILINGS; 1 MATCHING_GAP; 5 UNSUPPORTED_XBRL_CONCEPT (finance leases remain after notes convert)",EXPECTED,,YELLOW,"Shares extraction also blocks early quarters; lease-debt perimeter needs a general decision"
"GitLab Inc.",gitlab,GTLB,0001653482,2021-10-14,2026-06-30,1,https://gitlab.com/gitlab-org/gitlab.git,HIGH,19,COMPLETE,BLOCKED,0,"19 ZERO_SUPPORTED_BY_FILINGS; pre-IPO credit line terminated unused and later statements show no borrowing",EXPECTED,,YELLOW,"Source data supports zero debt but TechDD has no auditable zero-assertion input"
"HashiCorp, Inc.",hashicorp,HCP,0001720671,2021-12-09,2025-02-27,1,https://github.com/hashicorp/terraform.git,HIGH,13,PARTIAL,BLOCKED,0,"13 ZERO_SUPPORTED_BY_FILINGS; revolving facility reported no balance",UNKNOWN,,YELLOW,"Final quarter revenue is unavailable and reused HCP ticker requires PERMNO verification"
"Couchbase, Inc.",couchbase,BASE,0001845022,2021-07-22,2025-09-24,1,https://github.com/couchbase/manifest.git,MEDIUM,17,COMPLETE,BLOCKED,2,"1 REPORTED_NONZERO; 1 REPORTED_ZERO; 15 ZERO_SUPPORTED_BY_FILINGS after September 2021 repayment",EXPECTED,,YELLOW,"Distributed product repository definition and exact CRSP last-trading date remain unresolved"
"Confluent, Inc.",confluent,CFLT,0001699838,2021-06-24,2026-03-17,12,https://github.com/apache/kafka.git,MEDIUM,19,COMPLETE,PARTIAL,17,"2 ZERO_SUPPORTED_BY_FILINGS before December 2021 notes; 17 REPORTED_NONZERO",EXPECTED,,YELLOW,"Apache Kafka attribution requires the pre-registered employee-commit plurality test"
"Cloudera, Inc.",cloudera,CLDR,0001535379,2017-04-28,2021-10-08,1,https://github.com/apache/impala.git,LOW,18,COMPLETE,PARTIAL,4,"14 ZERO_SUPPORTED_BY_FILINGS; 1 REPORTED_ZERO; 3 REPORTED_NONZERO after December 2020 term loan",EXPECTED,,RED,"A single foundation repository is not a defensible proxy for the full commercial platform"
"Hortonworks, Inc.",hortonworks,HDP,0001610532,2014-12-12,2019-01-03,12,https://github.com/apache/ambari.git,MEDIUM,17,COMPLETE,BLOCKED,0,"17 ZERO_SUPPORTED_BY_FILINGS; facilities repeatedly disclosed no outstanding borrowings",EXPECTED,,YELLOW,"Foundation attribution remains unverified and zero assertions are not implemented"
"Talend S.A.",talend,TLND,0001668105,2016-07-29,2021-08-09,12,,LOW,20,COMPLETE,BLOCKED,8,"Debt is reported under LongTermDebtNoncurrent plus current/combined concepts after filer transition; debt is not the primary blocker",EXPECTED,,RED,"No authoritative canonical product repository; revenue compatibility changes at 20-F to 10-K transition"
"MuleSoft, Inc.",mulesoft,MULE,0001374684,2017-03-17,2018-05-02,12,https://github.com/mulesoft/mule.git,HIGH,5,COMPLETE,BLOCKED,0,"ZERO_SUPPORTED_BY_FILINGS; no borrowing line appears on the filed balance sheet",EXPECTED,,RED,"Only five public fiscal quarters and current revenue concepts do not match"
"Pivotal Software, Inc.",pivotal,PVTL,0001574135,2018-04-20,2019-12-30,2,https://github.com/cloudfoundry/cloud_controller_ng.git,LOW,7,COMPLETE,BLOCKED,0,"Borrowing repaid during fiscal 2019; REPORTED_ZERO at year end; debt is not the primary blocker",EXPECTED,,RED,"Short listing and foundation-distributed product identity; current revenue concepts do not match"
"MariaDB plc",mariadb,MRDB,0001929589,2022-12-19,2024-08-23,9,https://github.com/MariaDB/server.git,HIGH,7,COMPLETE,PASS,7,"7 REPORTED_NONZERO under supported LongTermDebt/LongTermDebtNoncurrent",EXPECTED,,YELLOW,"Short legitimate public window; exact final trading date and CRSP coverage remain unverified"
